WELL NAME,DEPTH (M),BVW (V/V),CARB_FLAG (UNITLESS),COAL_FLAG (UNITLESS),KLOGH (MD),PHIF (V/V),RHOFL (G/CM3),RHOMA (G/CM3),RW (OHMM),SAND_FLAG (UNITLESS),SW (V/V),TEMP (DEGC),VSH (V/V),LITHOTYPE
15/9-19 A,3680.1552,0.111043,0.0,0.0,0.0,0.21710500000000002,0.8,2.66,0.0215908,0.0,0.5115,113.0482,0.6660010000000001,CLST.SLTY-X-X
15/9-19 A,3680.3076,0.11161199999999999,0.0,0.0,0.0,0.225773,0.8,2.66,0.0215902,0.0,0.4944,113.0518,0.666756,OTHER
15/9-19 A,3680.46,0.111522,0.0,0.0,0.0,0.22687800000000002,0.8,2.66,0.021589599999999997,0.0,0.4916,113.0555,0.667511,OTHER
15/9-19 A,3680.6124,0.111876,0.0,0.0,0.0,0.23116599999999998,0.8,2.66,0.021588999999999997,0.0,0.484,113.0591,0.668267,OTHER
15/9-19 A,3680.7648,0.11086700000000001,0.0,0.0,0.0,0.22796999999999998,0.8,2.66,0.0215884,0.0,0.4863,113.0627,0.669022,OTHER
15/9-19 A,3680.9172,0.109263,0.0,0.0,0.0,0.22206599999999999,0.8,2.66,0.021587900000000004,0.0,0.49200000000000005,113.0664,0.6697770000000001,OTHER
15/9-19 A,3681.0696,0.109654,0.0,0.0,0.0,0.23221799999999998,0.8,2.66,0.0215873,0.0,0.4722,113.07,0.670532,OTHER
15/9-19 A,3681.222,0.106558,0.0,0.0,0.0,0.216193,0.8,2.66,0.0215867,0.0,0.4929,113.0736,0.671287,CLST.SLTY-X-X
15/9-19 A,3681.3744,0.106822,0.0,0.0,0.0,0.224162,0.8,2.66,0.0215861,0.0,0.4765,113.0773,0.672042,OTHER
15/9-19 A,3681.5268,0.104989,0.0,0.0,0.0,0.211877,0.8,2.66,0.0215855,0.0,0.4955,113.0809,0.672797,OTHER
15/9-19 A,3681.6792,0.1059,0.0,0.0,0.0,0.21879,0.8,2.66,0.0215849,0.0,0.484,113.0845,0.673552,OTHER
15/9-19 A,3681.8316,0.106323,0.0,0.0,0.0,0.22310100000000002,0.8,2.66,0.021584400000000004,0.0,0.4766,113.0882,0.674307,OTHER
15/9-19 A,3681.9840000000004,0.105895,0.0,0.0,0.0,0.221512,0.8,2.66,0.0215838,0.0,0.4781,113.0918,0.6750619999999999,OTHER
15/9-19 A,3682.1364,0.10715899999999999,0.0,0.0,0.0,0.232751,0.8,2.66,0.0215832,0.0,0.4604,113.0954,0.675817,CLST.SLTY-X-X
15/9-19 A,3682.2888,0.105397,0.0,0.0,0.0,0.21887199999999998,0.8,2.66,0.0215826,0.0,0.4815,113.0991,0.6765720000000001,OTHER
15/9-19 A,3682.4412,0.106302,0.0,0.0,0.0,0.225244,0.8,2.66,0.021582,0.0,0.4719,113.1027,0.677327,OTHER
15/9-19 A,3682.5936,0.103468,0.0,0.0,0.0,0.20438399999999998,0.8,2.66,0.0215815,0.0,0.5062,113.1063,0.678082,OTHER
15/9-19 A,3682.7459999999996,0.104798,0.0,0.0,0.0,0.219296,0.8,2.66,0.021580900000000004,0.0,0.4779,113.1099,0.678838,OTHER
15/9-19 A,3682.8984,0.10356900000000001,0.0,0.0,0.0,0.22149699999999997,0.8,2.66,0.0215803,0.0,0.4676,113.1136,0.679593,OTHER
15/9-19 A,3683.0508,0.103415,0.0,0.0,0.0,0.23864200000000002,0.8,2.66,0.0215797,0.0,0.4333,113.1172,0.680348,OTHER
15/9-19 A,3683.2032,0.09963999999999999,0.0,0.0,0.0,0.223715,0.8,2.66,0.0215791,0.0,0.4454,113.1208,0.681103,OTHER
15/9-19 A,3683.3556,0.09893300000000001,0.0,0.0,0.0,0.224727,0.8,2.66,0.0215785,0.0,0.4402,113.1245,0.681858,OTHER
15/9-19 A,3683.508,0.102452,0.0,0.0,0.0,0.25472,0.8,2.66,0.021578,0.0,0.4022,113.1281,0.682613,OTHER
15/9-19 A,3683.6604,0.103085,0.0,0.0,0.0,0.258587,0.8,2.66,0.0215774,0.0,0.3986,113.1317,0.683368,OTHER
15/9-19 A,3683.8128,0.102663,0.0,0.0,0.0,0.25485399999999997,0.8,2.66,0.0215768,0.0,0.4028,113.1353,0.6841229999999999,OTHER
